2026-06-07 11:28:37 | ERROR    | error | Request failed: GET /audit | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:51:20 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:51:20 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:51:20 | ERROR    | error | Request failed: POST /analyze | Status: 500 | Error: server_error | IP: 127.0.0.1
2026-06-07 19:57:28 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:57:28 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:57:28 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 20:07:50 | ERROR    | error | Request failed: GET /correlate | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-07 20:29:05 | ERROR    | error | Request failed: GET /correlate | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-07 20:31:51 | ERROR    | error | Request failed: GET /correlate | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-07 20:35:34 | ERROR    | error | Request failed: GET /correlate | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:10:19 | ERROR    | error | Request failed: GET /correlate | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:14 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:14 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:14 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:30:16 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:33:08 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:33:08 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:33:08 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:44:55 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:44:55 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-08 08:44:55 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:32:04 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:32:04 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:32:04 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:39:38 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:39:38 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:39:38 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:43:12 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:43:12 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:43:12 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:53:15 | ERROR    | error | Request failed: GET / | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:53:15 | ERROR    | error | Request failed: GET /favicon.ico | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-09 23:55:37 | ERROR    | error | Request failed: GET /favicon.ico | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-10 00:02:01 | ERROR    | error | Request failed: GET /favicon.ico | Status: 404 | Error: client_error | IP: 127.0.0.1
